first_name,last_name,email,date_of_birth,salary,field,sex,languages_know,answer
hassane,mamane,hassanemmn@gmail.com,16/02/2001,12000,Data & IA,M,"python,java,c_sharp",True
sara,tamami,sara@gmail.com,21/03/2001,9700,Software engineering,F,"python,R,c++",False
francis,eustler,francisestl@gmail.com,30/07/2002,9500,Literature,M,"php,java,c",False
laura,chavez,laura@gmail.com,14/10/2003,11000,Art,F,,True
Elizabeth,Taylor,alexanderraymond@garcia.info,22/11/2000,8923,Science,F,"R,c_sharp,c",False
Mary,Callahan,dpennington@bean.com,28/02/2005,8514,Finance,F,java,True
Daniel,Smith,patricia14@luna.info,15/07/1994,11703,Art,F,python,True
James,Vasquez,solisanne@elliott.net,24/07/2000,11131,Literature,M,"c++,java,php",False
Laura,Hardy,ramirezjoy@mcdowell.info,01/08/2001,9183,Literature,M,"php,c_sharp,c++",True
Cody,Smith,farrelljeffrey@hotmail.com,28/09/2000,8723,Data & IA,F,c_sharp,True
Tami,Fields,timothy08@mcguire.com,15/04/2002,14079,Science,M,,False
Priscilla,Cox,frostmelissa@gmail.com,05/04/1996,10225,Data & IA,F,java,True
Colleen,Underwood,richard38@may-hernandez.com,04/10/2002,14714,Software engineering,F,"R,java,php",False
Jacob,Wolf,vrussell@huynh.com,21/11/1999,10774,Literature,F,php,False
Arthur,Jones,michael79@espinoza.com,23/04/1996,11309,Art,M,php,True
Scott,Smith,iproctor@yahoo.com,05/08/2005,14712,Finance,F,"c_sharp,c",True
Robert,Booker,njames@hotmail.com,20/02/2004,10856,Art,M,"python,php,c_sharp",True
Ryan,Petersen,brett78@yahoo.com,18/07/2006,8047,Finance,M,"java,c++,c_sharp",True
Tiffany,Miller,richard86@gmail.com,26/06/2000,14970,Software engineering,M,,True
Danny,Orozco,davidthomas@lane.info,22/05/2005,9393,Marketing,M,"c,R,c++",True
Tanner,Carroll,rebeccahayes@hayes.biz,02/10/1996,13331,Literature,F,"c_sharp,java",False
Samuel,Diaz,debrahamilton@yahoo.com,24/03/1996,8605,Data & IA,F,"c_sharp,R,c",True
Nicole,Michael,pmontoya@howard-lloyd.com,21/06/1995,12046,Marketing,F,python,True
Allison,Lopez,peter20@phillips.biz,09/08/2005,13410,Literature,F,"python,c",True
Melissa,Krueger,vwilliams@obrien.org,13/03/1999,12845,Science,F,,False
James,Scott,uperkins@hotmail.com,23/05/2000,14535,Literature,F,,True
Sandra,Richards,qwerner@mcguire.org,11/11/2001,13116,Software engineering,F,"R,c_sharp,python",True
Michael,Curry,michellerobinson@yahoo.com,26/10/2005,10853,Science,F,"R,php,c",True
Stacy,Hardy,josephwilliams@hotmail.com,01/05/1994,9659,Software engineering,M,"python,c",False
Laurie,Curry,natalie11@gmail.com,14/05/2003,13035,Science,M,"c++,php,java",False
Joseph,Hays,lindsaydurham@hotmail.com,13/08/1996,10309,Software engineering,F,"c,python,c++",True
Chelsea,Stone,arellanotonya@hotmail.com,01/04/2000,8650,Data & IA,M,R,True
Tina,Nguyen,reyesteresa@klein.com,03/12/1999,10546,Literature,F,"java,R",True
Zachary,Scott,ifuller@charles-mcdaniel.org,05/06/2005,14032,Software engineering,F,"c,c++,php",False
Robert,Petty,flynnrebecca@lee.com,26/10/2005,14804,Software engineering,F,"c,R",False
Debra,Diaz,phillipsstephanie@gmail.com,17/01/2006,8305,Marketing,F,,False
Charles,Foster,thomasrobinson@yahoo.com,16/02/1997,10433,Marketing,F,"java,python",False
Dakota,Brown,vanessawolf@johnson-roth.com,01/03/1999,14489,Data & IA,M,,False
Jeffrey,Lopez,smithscott@davis.com,24/10/2002,10965,Literature,M,,False
James,Carson,teresa35@scott.biz,01/06/1994,14109,Art,M,c,True
Ruben,Gonzalez,mark46@gmail.com,19/04/1997,11028,Marketing,M,"c++,php",False
Jessica,Webb,cardenasmichael@novak.com,23/12/2003,10299,Marketing,M,,False
April,Erickson,pbarnes@ibarra.com,04/08/2004,14003,Software engineering,F,"c++,python,php",False
Alfred,Gonzales,christopherstrong@wagner.org,13/04/2000,9089,Science,M,java,True
Mark,Walter,brian07@ryan-moody.com,30/09/2002,14897,Software engineering,M,java,True
John,Schaefer,whall@yahoo.com,21/07/1998,11415,Art,M,"c,python,R",False
Phyllis,Dean,vvargas@gmail.com,14/11/2001,11457,Software engineering,F,R,True
Amy,Moon,christopherbrown@gmail.com,24/03/2002,14766,Literature,M,"R,python,php",True
Tricia,Hansen,ramoskatrina@marsh.com,18/07/1998,8940,Data & IA,F,,True
Diana,Meyers,hannagary@baker.com,21/09/1996,10601,Science,F,"python,c",False
Christopher,Rivera,tracybartlett@johnson-bishop.org,27/04/2002,11532,Literature,F,R,True
Heather,Howard,jessica93@gmail.com,15/08/1994,9077,Literature,F,"c_sharp,c",True
Catherine,Baker,chase96@rogers.com,17/06/2001,9517,Marketing,F,"c++,java",True
Kristin,Taylor,matthewbrown@mendoza-gonzales.org,19/02/1997,12836,Literature,F,python,True
Amanda,Schultz,sanchezmeredith@jones-wells.biz,12/10/2001,10888,Science,M,"R,php",True
Nicole,Shaw,beckeralyssa@berry.com,30/05/2003,13882,Science,F,"php,java,R",False
Crystal,Frost,karen35@yahoo.com,14/07/2000,10653,Literature,F,"php,c",True
Marcia,Moore,steveacosta@snow.net,20/10/1994,12288,Data & IA,M,"java,c_sharp",True
Daniel,Smith,mary27@yahoo.com,14/01/1996,9021,Software engineering,F,c_sharp,True
Frederick,Anderson,cochranerin@gmail.com,07/03/1996,9693,Marketing,F,,False
Michelle,Kennedy,janice61@mason.com,08/10/1997,8110,Science,F,java,True
Jerry,Palmer,elizabethwilliams@herrera.net,17/10/2000,10174,Finance,M,c_sharp,True
Paula,Yates,qvalenzuela@davis.org,12/09/2004,10568,Marketing,F,,False
Holly,Taylor,michael43@hotmail.com,04/12/2005,9527,Science,M,"c_sharp,php,c",True
Kevin,White,uhunter@hotmail.com,29/07/1994,8659,Finance,M,,False
Samantha,Perry,johnsonjames@rubio-jones.com,28/02/1996,11312,Literature,M,"python,R",True
William,Donovan,woodcharles@hotmail.com,04/11/1999,13781,Marketing,F,"c_sharp,java,c",True
Edward,Miller,cruzjeffrey@martin.com,21/09/2005,11105,Data & IA,F,"c_sharp,c,python",False
Anne,Murphy,fernando30@harris.net,07/03/2002,9334,Science,F,java,False
Anthony,Ballard,wellsdavid@stewart.com,01/07/2000,11570,Data & IA,F,"python,R,php",False
Dawn,Thomas,oaguilar@gmail.com,02/01/2004,14474,Software engineering,F,python,True
Morgan,Kline,wardrenee@palmer.net,30/03/1999,14260,Software engineering,F,"java,python",False
Diane,Lowe,stephanie71@rhodes-williams.com,13/01/2000,9628,Science,F,"php,c",True
Sarah,Coleman,mbaker@hotmail.com,14/05/2004,8954,Finance,M,,True
Jennifer,Lewis,hgreen@hotmail.com,31/03/2004,9955,Finance,F,,False
Victor,Moyer,jacksonphilip@hotmail.com,28/03/1997,8012,Finance,M,"c,c++",False
Kim,Wilson,tammyroach@yahoo.com,05/08/1997,10953,Literature,M,c++,True
Joseph,Lutz,yolandatorres@gmail.com,09/01/2001,14195,Data & IA,M,,False
Ashley,Frederick,ashley04@roach.net,08/09/2001,11293,Finance,M,,False
Glenn,Greene,dorothy11@gmail.com,06/03/1996,13075,Literature,F,,False
Taylor,Beasley,baileykatie@hotmail.com,07/10/2006,9741,Literature,F,c,True
Laura,Wilkerson,crystal94@yahoo.com,18/03/1998,12585,Art,F,"php,python",False
Beth,Munoz,cwilson@cunningham-evans.com,02/09/1997,10383,Finance,F,c,True
Lisa,Lee,johnryan@yahoo.com,05/04/2000,14184,Science,M,"python,R",False
Sean,Foley,kellymills@hill-lowe.com,27/05/2003,8458,Finance,M,c_sharp,True
John,Shaffer,michelle86@hotmail.com,15/03/1999,10263,Art,M,"c_sharp,python,c",True
Brian,Diaz,timothyhall@russell.info,23/08/1994,14192,Marketing,F,java,False
Brian,Benson,scottgarcia@hotmail.com,14/01/1994,9696,Data & IA,M,"c++,c_sharp,php",False
Alexis,Hoffman,debra48@foley.com,26/11/1997,10060,Finance,F,"php,java",True
Bernard,Matthews,vanessamills@yahoo.com,19/02/1998,13160,Science,F,"R,java,php",False
Michael,Contreras,jamesweeks@gmail.com,10/03/1994,11667,Finance,F,R,False
Barbara,Dunn,eanderson@hotmail.com,13/09/1995,13928,Finance,F,"python,c,c_sharp",True
Dwayne,Brown,raymond51@chang.com,03/02/2000,14697,Art,F,"python,c_sharp",False
Julia,Wright,jgutierrez@hotmail.com,12/03/2000,8626,Science,F,"python,java",True
Katherine,Young,tjones@blankenship-wheeler.com,31/08/2003,12679,Literature,F,R,False
Alex,Bryant,xhorton@hotmail.com,19/12/1997,14976,Marketing,M,,True
Austin,Daniel,dsantos@woods.com,17/04/2003,9019,Finance,F,c++,False
Larry,Luna,glenn12@yahoo.com,16/02/2000,8458,Finance,F,"python,c,java",False
Mathew,Price,stevenwolfe@yahoo.com,12/10/2006,9394,Art,F,"c++,c",True
Lisa,Ho,petersnicholas@bond.net,06/05/2004,9059,Literature,F,python,True
Carlos,Mason,april87@vargas.biz,04/10/2005,11681,Literature,F,"c++,R,python",False
Cathy,Guerrero,johnsonmatthew@robinson.info,10/11/2000,10843,Finance,F,"c_sharp,c,R",True
Denise,Williams,kathryn43@wilson.com,02/11/2003,13410,Data & IA,F,"python,c",True
James,Mills,jessesilva@brown.biz,14/11/1996,9396,Literature,M,"java,python,c++",True
Samantha,Sandoval,richard82@pope.com,26/11/2001,10876,Software engineering,F,"c,R",False
Julie,Perry,brettbean@hotmail.com,19/05/1995,11782,Art,M,,True
Brittany,Hudson,daniel04@watson.com,23/03/1995,8534,Science,M,"c,java,R",False
Kelly,Nash,colemanrickey@hotmail.com,17/11/2003,9249,Marketing,F,"R,python,php",False
Joshua,Villegas,stephanie22@arnold.com,12/07/1995,9508,Art,M,"R,c_sharp,python",False
Erika,Hall,angela74@yahoo.com,02/11/2003,12996,Literature,M,"c++,php,python",True
Alexander,Burgess,michael85@gmail.com,02/10/2003,11546,Software engineering,M,c++,True
Nathan,Salazar,paulbriggs@rice.com,26/11/1999,10509,Literature,F,,False
Rebecca,Oliver,laneheather@morris.com,20/12/1993,8759,Marketing,F,,True
Jared,Gibson,timothydiaz@ortiz-kennedy.com,04/01/2003,8031,Software engineering,F,"c,c++",False
Doris,Jenkins,wilsoncheryl@mccormick.com,24/07/2005,14546,Science,F,"java,php,R",True
Gregory,Cline,turnermichelle@gmail.com,19/03/1994,13425,Data & IA,M,"python,php,R",False
Brianna,Cisneros,jessicamiller@yahoo.com,16/09/2002,12823,Art,F,"php,c",True
Zachary,Sandoval,perezcraig@hotmail.com,25/12/1998,10265,Data & IA,F,,False
Angela,Miller,eric46@hotmail.com,08/09/1996,8987,Science,M,"php,c++,c_sharp",True
Kristi,Robertson,leacheric@meyer.com,23/08/1996,8806,Literature,M,python,False
Sarah,Adams,rlopez@hotmail.com,06/03/2002,14870,Literature,F,,True
Anthony,Love,kristengordon@yahoo.com,03/02/2004,11481,Science,M,python,False
Kathy,Carroll,angela88@nunez-wang.com,24/05/1997,14006,Marketing,F,"java,python,php",False
Victoria,Stephenson,tonya42@hotmail.com,05/01/1999,11768,Literature,M,,False
Mary,Galloway,julie03@hotmail.com,21/05/1995,10447,Literature,M,"python,R",True
Kelly,Park,mprice@yahoo.com,18/03/2001,9438,Data & IA,F,"R,c++,python",False
Amy,Hall,cbuck@yahoo.com,13/02/2005,11787,Data & IA,F,,True
Chelsea,Ochoa,stewartshaun@dean.com,15/09/1999,13192,Science,F,"java,c++,c_sharp",True
Catherine,Thompson,cobbtodd@golden-taylor.com,09/10/2003,10985,Marketing,F,R,False
Sara,Mcintyre,njones@walker.com,09/04/2000,12018,Marketing,F,,False
Betty,Cruz,andrew59@yahoo.com,17/02/1994,8389,Marketing,F,,False
Michael,Jarvis,larrylynch@yahoo.com,27/06/1994,9995,Software engineering,F,"R,php",True
Douglas,Henry,vincent65@brooks-logan.com,13/06/1997,12634,Data & IA,M,,False
James,Powell,amberhanson@yahoo.com,10/12/1996,14765,Science,M,"c_sharp,python,c++",True
Denise,Jefferson,rebeccarogers@gmail.com,15/11/2000,14775,Software engineering,M,"php,python,c_sharp",False
James,Johnson,vgoodman@gmail.com,25/09/1995,12590,Software engineering,M,"c_sharp,c++",True
James,Garza,kaitlynjohnson@dean.com,01/05/2004,13783,Data & IA,M,,False
Robert,Watkins,claudia36@hotmail.com,14/09/1994,14560,Finance,F,c_sharp,True
Kimberly,West,imiller@gmail.com,24/09/1994,14023,Literature,F,,True
Matthew,Holland,scharles@gmail.com,14/12/2005,14312,Software engineering,M,java,False
Dean,Chen,ipayne@henry-mcdowell.net,16/01/2001,12682,Marketing,M,,True
Ryan,Pham,melissadonovan@lambert-luna.com,19/06/1996,8001,Science,M,"c,c_sharp",True
Tara,Butler,colonsara@gutierrez.com,19/07/1994,12225,Software engineering,M,php,True
Andrew,Mathis,wardmary@gmail.com,27/01/2001,12188,Finance,M,,False
Alexa,Mcgrath,christian60@anderson-greene.com,11/08/2000,13316,Finance,M,c_sharp,True
Kevin,Church,taylorjoseph@armstrong.com,26/02/2000,8305,Software engineering,M,"java,c_sharp",True
Chelsea,Mclaughlin,lwright@morton.biz,20/07/2003,10370,Science,F,,True
Susan,Burton,ijohnson@russell-james.org,13/05/2000,9508,Data & IA,F,,True
Elizabeth,Perry,tfitzgerald@gmail.com,27/11/1993,8959,Science,M,python,True
Michael,Nichols,hubbardmonica@bradford.com,14/09/2005,9923,Literature,F,"python,c_sharp,java",False
Tina,Hicks,kjones@yahoo.com,27/01/2000,11999,Science,F,"php,c_sharp,R",True
John,Cole,hgrant@hotmail.com,06/07/2005,14095,Finance,F,"c_sharp,c",False
Jonathan,Crane,joseph11@hotmail.com,05/08/1999,12643,Marketing,M,,True
Jeffrey,Martinez,hoodbrett@campbell.com,10/04/1995,10093,Marketing,F,,True
Caleb,Wilson,michael75@gmail.com,18/09/1998,13816,Finance,F,,True
Frank,Bailey,kimberlyclark@yahoo.com,14/04/1995,8936,Software engineering,F,c,True
Cassandra,Ingram,daniel59@yahoo.com,06/08/2006,12394,Art,F,"php,c++,R",True
Julie,Weiss,tanyaayala@gmail.com,22/07/2002,9296,Data & IA,F,"c++,R",True
Danielle,Clarke,cynthiamiller@yahoo.com,10/09/1999,14248,Data & IA,M,,True
Lori,Beck,cjensen@hutchinson-brennan.com,25/01/2000,11983,Marketing,F,"R,c",True
Courtney,Bailey,halegeorge@taylor.org,26/06/2004,11236,Art,F,R,False
Marcus,Johnston,angelagarcia@yahoo.com,18/07/1999,9763,Marketing,M,R,False
Beth,Bryant,luis31@mcmillan.biz,06/08/2002,12880,Marketing,F,c,True
Ryan,Walker,cford@carroll.info,12/01/1995,10577,Data & IA,F,c++,False
Joshua,Jones,joseph25@webb-myers.com,29/06/2005,9415,Software engineering,M,,True
William,Hamilton,samuel22@yahoo.com,19/10/1999,8509,Literature,M,java,True
Jordan,Chavez,kevin51@yahoo.com,12/07/2004,12658,Marketing,F,,True
Roy,Perkins,sarah20@hotmail.com,26/10/2002,9464,Literature,M,,False
Christopher,Jenkins,fcraig@martin.com,15/08/2006,14466,Literature,F,"c++,c",False
Kristina,Taylor,hannah74@hart.info,11/10/1998,12308,Marketing,M,php,False
Jennifer,Barnett,palmerangela@yahoo.com,20/04/1998,10323,Science,F,"php,c",True
Ian,Newman,catherinevaldez@smith.info,30/09/1994,10560,Science,M,"c++,c",False
Cheryl,Fisher,thomasjenkins@murray-chen.org,24/11/2005,10866,Art,F,java,True
Michelle,Smith,jose39@gmail.com,12/12/1994,8033,Literature,M,,True
Eric,Foster,cameron30@gonzalez-lucero.com,30/04/2000,9240,Science,F,"c++,c",False
Eric,Griffin,bcruz@gmail.com,19/05/2001,13762,Software engineering,F,"php,c_sharp,python",True
Elizabeth,Henry,gdawson@norman.com,06/01/2005,11185,Finance,M,"python,c,java",False
Ashley,Hale,hutchinsonbrandon@hotmail.com,09/08/2006,9729,Literature,M,"python,R",True
Christina,Weber,sandra61@hodges.info,20/09/1996,8800,Art,M,"R,python",False
Lori,Morgan,stephanie37@richards.com,21/10/2000,13960,Data & IA,M,"python,c++",True
Timothy,Oliver,ralphturner@yahoo.com,06/08/2003,11861,Marketing,M,"R,c,python",True
David,Potts,mmora@hotmail.com,21/01/2002,12546,Science,F,php,False
Melanie,Brandt,juliesalazar@ramirez-christensen.info,04/04/1995,8286,Finance,F,c,False
Gregory,Phillips,kjones@gmail.com,03/09/1999,10140,Software engineering,F,"c_sharp,php,python",False
Monica,Rodriguez,upatrick@yahoo.com,10/10/2002,13662,Art,F,,True
Sheri,Morales,montoyajohn@yahoo.com,27/09/1998,12210,Literature,F,"java,c++,php",False
James,Smith,jamesdunlap@reese.com,09/09/2001,9764,Software engineering,M,,False
Francisco,Cruz,whernandez@williamson-larson.com,02/08/2002,14782,Software engineering,M,php,False
Kevin,Maddox,janice59@johnson.com,29/11/1994,12967,Software engineering,M,"c++,java",True
Todd,Bush,holmesjessica@dixon.com,04/02/2001,8220,Art,F,"c++,python",True
Abigail,Gordon,thomasjeremy@blackburn-morrison.com,17/04/1997,11012,Marketing,F,"java,c_sharp",True
Rebekah,Lewis,larsonmichael@gmail.com,28/01/1996,13858,Finance,F,c_sharp,False
Denise,Dickson,coreyjuarez@hotmail.com,06/12/2002,10825,Art,F,,True
James,Hanson,ojones@yahoo.com,20/10/2002,12345,Software engineering,M,,True
Peter,Lewis,wellssara@yahoo.com,02/06/2005,8507,Art,M,python,True
William,Gomez,edwardanderson@gmail.com,19/04/1997,9097,Data & IA,M,R,False
Anthony,Reilly,smithgregory@bryant.biz,30/06/2002,9124,Science,M,,True
Stephanie,Lamb,marypatton@yahoo.com,15/01/2000,9507,Data & IA,F,c++,False
Donald,Salazar,eross@collins.com,10/07/2000,9269,Art,M,R,False
David,Campos,barbara39@gmail.com,01/02/2006,9629,Marketing,F,"java,python",False
Henry,Anderson,hayesmary@gmail.com,17/10/2005,11413,Science,F,"c,c++,java",True
Kenneth,White,roblesmatthew@hotmail.com,23/05/1998,8492,Art,M,"R,c++,java",True
Alexis,Carter,colechristopher@silva.com,15/03/2005,12774,Science,F,"c++,c_sharp,java",False
Gregory,Thomas,ronaldbaxter@gmail.com,07/05/2000,13747,Marketing,M,"R,c,c_sharp",True
Kenneth,Bates,wrightjessica@nunez.com,15/11/2001,10097,Literature,F,"java,c++,php",True
Debra,Brooks,daltonpamela@hughes.com,05/09/1997,10272,Art,F,"php,R",False
Kayla,Anderson,howardallison@hotmail.com,17/10/2005,11376,Art,F,c_sharp,True
